0	1	0
0.001	0.99996	-0.0809989
0.0055	0.998775	-0.445318
0.0236817	0.977373	-1.90373
0.0446007	0.920512	-3.51642
0.0675176	0.820987	-5.13852
0.092112	0.675607	-6.63535
0.118287	0.484869	-7.87128
0.14614	0.252762	-8.70775
0.176059	-0.01373	-8.99915
0.205977	-0.279232	-8.64201
0.235895	-0.524611	-7.66207
0.265813	-0.732183	-6.12996
0.295731	-0.886989	-4.15609
0.321248	-0.968822	-2.22978
0.346764	-0.999785	-0.186396
0.367188	-0.986728	1.46141
0.387612	-0.940426	3.05998
0.410016	-0.853282	4.69303
0.43416	-0.720794	6.23833
0.459893	-0.542448	7.5608
0.487256	-0.321287	8.52283
0.516532	-0.0635541	8.9818
0.545809	0.198565	8.82078
0.575086	0.446978	8.05089
0.604363	0.664538	6.72528
0.63364	0.836226	4.93544
0.662916	0.950193	2.80493
0.686506	0.994529	0.939999
0.710095	0.994208	-0.967139
0.733684	0.949243	-2.83085
0.757273	0.861654	-4.56744
0.780863	0.735373	-6.09894
0.806456	0.561233	-7.4489
0.833656	0.343905	-8.45102
0.86273	0.0892966	-8.96403
0.891803	-0.171391	-8.86681
0.920876	-0.420411	-8.16598
0.949949	-0.640812	-6.90926
0.979022	-0.817589	-5.18219
1.00809	-0.938709	-3.10234
1.03225	-0.990964	-1.20699
1.05641	-0.996564	0.745192
1.08056	-0.955245	2.66229
1.10472	-0.868951	4.45404
1.12888	-0.741747	6.03609
1.15439	-0.569644	7.397
1.18152	-0.354069	8.41695
1.2105	-0.100905	8.95404
1.23948	0.159086	8.88536
1.26846	0.408314	8.21555
1.29745	0.629918	6.98992
1.32643	0.808906	5.2914
1.35541	0.933168	3.2349
1.37983	0.989073	1.32665
1.40424	0.997423	-0.645388
1.42599	0.964428	-2.379
1.44774	0.8946	-4.02175
1.47119	0.781111	-5.61949
1.49627	0.621531	-7.05047
1.52295	0.417462	-8.17822
1.55138	0.173901	-8.86284
1.5708	4.07786e-11	-8.99997
